"Product ID";"Active (0/1)";Name;Category;"Image URL";Price;Available
78;1;"Filtr oleju KNECHT OX 345/7D";Filtry;https://media2mi.pl/p/2/458/174/photo-a7463ac6-c78b-42aa-9573-82d9825b957b-150x150.jpg;80,77;1
79;1;"Filtr oleju KNECHT OX 135/1D";Filtry;https://media2mi.pl/p/2/264/372/photo-2132906b-b780-4c92-96c6-0392bffeade2-150x150.jpg;25,88;1
80;1;"Filtr oleju KNECHT OC 23";Filtry;https://media1mi.pl/p/1/89/211/photo-5559a30c-1b8b-4a04-a571-daa0dcbb1ddb-150x150.jpg;24,98;1
81;1;"Świeca zapłonowa NGK 2164";Świece;https://media1mi.pl/p/1/146/488/photo-93be8955-95ab-40b2-81db-4191cef78a32-150x150.jpg;25,43;1
82;1;"Świeca zapłonowa NGK 3720";Świece;https://media2mi.pl/p/2/260/328/photo-06bbae36-59dd-42c6-9590-7bc25514df9c-150x150.jpg;18,97;1
83;1;"Świeca zapłonowa NGK 3577";Świece;https://media1mi.pl/p/1/9/197/photo-b09827af-e4f4-478c-b10c-e00af8fdd017-150x150.jpg;16,27;1
84;1;"Świeca zapłonowa BOSCH 0 242 222 505";Świece;https://media1mi.pl/p/1/147/181/photo-4742b455-d4ac-497e-9b48-c4e9014a5a2b-150x150.jpg;25,95;1
85;1;"Świeca zapłonowa BERU Z58";Świece;https://media2mi.pl/p/2/433/123/photo-0a644827-fefd-44b1-bf90-677f596fcccd-150x150.jpg;9,94;1
86;1;"Świeca zapłonowa NGK 3696";Świece;https://media2mi.pl/p/2/384/366/photo-228d0f5b-b84c-485c-bf17-2e0ebbc5e2c7-150x150.jpg;17,17;1
87;1;"Świeca zapłonowa DENSO P22PR8";Świece;https://media2mi.pl/p/2/423/388/photo-0be140ce-e0f0-4fda-9563-692d5346cb10-150x150.jpg;49,78;1
88;1;"Świeca zapłonowa NGK 5592";Świece;https://media1mi.pl/p/1/70/94/photo-0df075ab-109d-4bf9-b5a5-136b7e8c4efc-150x150.jpg;66,87;1
89;1;"Świeca zapłonowa BOSCH 0 242 245 559";Świece;https://media2mi.pl/p/2/411/295/photo-9fa1e8ca-0d51-4e77-95d3-f21c8253a994-150x150.jpg;62,58;1
90;1;"Świeca zapłonowa NGK 5812";Świece;https://media1mi.pl/p/1/191/10/photo-edfb62b4-d415-4d0b-a358-3b3420491cc2-150x150.jpg;38,26;1
91;1;"Świeca zapłonowa BERU Z230";Świece;https://media2mi.pl/p/2/370/180/photo-a86bcb02-48c8-426e-b7b4-ac31799859fd-150x150.jpg;50,39;1
92;1;"Świeca zapłonowa BOSCH 0 242 245 552";Świece;https://media1mi.pl/p/1/118/172/photo-442515a6-6ff8-47b7-8b52-8983fa004919-150x150.jpg;19,00;1
93;1;"Świeca zapłonowa NGK 6421";Świece;https://media2mi.pl/p/2/350/144/photo-2dfcda9c-8a21-4c11-954c-7fcbc6caf4bf-150x150.jpg;14,85;1
94;1;"Świeca zapłonowa NGK 3526";Świece;https://media2mi.pl/p/2/395/128/photo-2f8ef7f5-9116-4d1e-b6bb-f758c95be39d-150x150.jpg;11,78;1
95;1;"Świeca zapłonowa NGK 4226";Świece;https://media2mi.pl/p/2/350/144/photo-2dfcda9c-8a21-4c11-954c-7fcbc6caf4bf-150x150.jpg;17,67;1
96;1;"Świeca zapłonowa DENSO SKJ20DR-M11";Świece;https://media2mi.pl/p/2/277/161/photo-f5ff87db-7ab4-460a-85ed-e532fbfbeebe-150x150.jpg;69,23;1
97;1;"Świeca zapłonowa BOSCH 0 242 235 953";Świece;https://media2mi.pl/p/2/331/421/photo-32564991-a9ad-4ef9-80d1-c6beeada0f0b-150x150.jpg
98;1;"Świeca zapłonowa BOSCH 0 241 225 549";Świece;https://media1mi.pl/p/1/188/486/photo-80a1ea34-3c17-4315-8377-df221d495722-150x150.jpg;16,78;1
99;1;"Świeca zapłonowa NGK 5368";Świece;https://media2mi.pl/p/2/315/30/photo-d3aacb50-591b-44db-b0c2-651ec52d4107-150x150.jpg;56,28;1
100;1;"Świeca zapłonowa DENSO P16";Świece;https://media1mi.pl/p/1/35/361/photo-cb172b7e-51d8-45fa-a147-dcd5d7219d06-150x150.jpg
101;1;"Świeca zapłonowa DENSO FXE22HR11";Świece;https://media1mi.pl/p/1/41/244/photo-80995500-9a5b-4942-82c0-a9bfc8c949f9-150x150.jpg;77,26;1
102;1;"Świeca zapłonowa NGK 6637";Świece;https://media2mi.pl/p/2/481/432/photo-41b071d4-567f-4aa2-9381-399d40718c76-150x150.jpg;61,68;1
103;1;"Świeca zapłonowa NGK 9029";Świece;https://media1mi.pl/p/1/65/180/photo-5f6b2387-ba99-4997-8885-2060c6d22cea-150x150.jpg;95,64;1
104;1;"Świeca zapłonowa BERU Z285";Świece;https://media2mi.pl/p/2/334/81/photo-8640959d-981f-431a-b1b6-ad81d57483c5-150x150.jpg;56,91;1
105;1;"Świeca zapłonowa NGK 3710";Świece;https://media2mi.pl/p/2/344/210/photo-e1454ecf-363a-4da9-8c42-8d4b5c7b68d3-150x150.jpg;13,36;1
106;1;"Świeca zapłonowa BERU Z280";Świece;https://media1mi.pl/p/1/117/88/photo-55aa0cf9-67b4-4eb4-8d4c-1de9e5e9c967-150x150.jpg;59,51;1
107;1;"Świeca zapłonowa NGK 4228";Świece;https://media1mi.pl/p/1/241/98/photo-704bb830-64aa-4585-832c-2b0e55308c48-150x150.jpg;9,00;1
108;1;"Świeca zapłonowa NGK 3579";Świece;https://media2mi.pl/p/2/497/290/photo-9944adf4-23e0-42a4-9c3c-7653be1496eb-150x150.jpg;41,59;1
109;1;"Świeca zapłonowa DENSO K22PBR-S";Świece;https://media1mi.pl/p/1/219/61/photo-3940cd41-15ed-401e-b939-f6343f839191-150x150.jpg;23,81;1
110;1;"Świeca zapłonowa BOSCH 0 242 235 607";Świece;https://media1mi.pl/p/1/176/27/photo-7d61d811-aeee-4272-be46-773ceeda43bf-150x150.jpg;41,00;1
111;1;"Świeca zapłonowa DENSO W20S-U";Świece;https://media1mi.pl/p/1/140/129/photo-bc0b2bcb-66ee-4329-9a8e-8dfaff21c282-150x150.jpg;9,97;1
112;1;"Świeca zapłonowa BOSCH 0 242 135 500";Świece;https://media1mi.pl/p/1/168/466/photo-ef972656-c121-4d92-b4b4-656b322e6bd4-150x150.jpg;22,36;1
113;1;"Świeca zapłonowa NGK 4669";Świece;https://media2mi.pl/p/2/271/403/photo-e8033a20-843a-4f73-a236-8e1b20fc33f5-150x150.jpg;15,26;1
114;1;"Świeca zapłonowa NGK 4043";Świece;https://media2mi.pl/p/2/281/340/photo-14053e23-7639-443e-b03e-a2b7922a77ac-150x150.jpg;27,87;1
115;1;"Świeca zapłonowa DENSO SKJ16CR-A8";Świece;https://media2mi.pl/p/2/327/15/photo-ebe8d6e0-d55d-45fb-83b9-f46a8c8fa459-150x150.jpg;78,63;1
116;1;"Świeca zapłonowa BOSCH 0 242 229 628";Świece;https://media2mi.pl/p/2/507/206/photo-cb45d65f-ec21-4632-9efe-51c89657dfdd-150x150.jpg;26,74;1
117;1;"Świeca zapłonowa NGK 4212";Świece;https://media1mi.pl/p/1/154/369/photo-e23d07f9-7c2b-47e4-9c3c-a54d267014a7-150x150.jpg;93,53;1
118;1;"Świeca zapłonowa NGK 5155";Świece;https://media1mi.pl/p/1/145/422/photo-0947733c-93f8-4398-b9e3-573134ea2133-150x150.jpg;16,85;1
119;1;"Świeca zapłonowa DENSO KJ20SR11";Świece;https://media2mi.pl/p/2/416/438/photo-f0f390ba-16b6-427f-826b-e57900c051dc-150x150.jpg;66,00;1
120;1;"Świeca zapłonowa NGK 6313";Świece;https://media1mi.pl/p/1/76/117/photo-d176f98e-d063-4f0b-a9d4-5f7b2c79bbaa-150x150.jpg;16,85;1
121;1;"Świeca zapłonowa NGK 2164";Świece;https://media1mi.pl/p/1/146/488/photo-93be8955-95ab-40b2-81db-4191cef78a32-150x150.jpg;25,43;1
122;1;"Świeca zapłonowa NGK 3720";Świece;https://media2mi.pl/p/2/260/328/photo-06bbae36-59dd-42c6-9590-7bc25514df9c-150x150.jpg;18,97;1
123;1;"Świeca zapłonowa NGK 3577";Świece;https://media1mi.pl/p/1/9/197/photo-b09827af-e4f4-478c-b10c-e00af8fdd017-150x150.jpg;16,27;1
124;1;"Świeca zapłonowa BOSCH 0 242 222 505";Świece;https://media1mi.pl/p/1/147/181/photo-4742b455-d4ac-497e-9b48-c4e9014a5a2b-150x150.jpg;25,95;1
125;1;"Świeca zapłonowa BERU Z58";Świece;https://media2mi.pl/p/2/433/123/photo-0a644827-fefd-44b1-bf90-677f596fcccd-150x150.jpg;9,94;1
126;1;"Świeca zapłonowa NGK 3696";Świece;https://media2mi.pl/p/2/384/366/photo-228d0f5b-b84c-485c-bf17-2e0ebbc5e2c7-150x150.jpg;17,17;1
127;1;"Świeca zapłonowa DENSO P22PR8";Świece;https://media2mi.pl/p/2/423/388/photo-0be140ce-e0f0-4fda-9563-692d5346cb10-150x150.jpg;49,78;1
128;1;"Świeca zapłonowa NGK 5592";Świece;https://media1mi.pl/p/1/70/94/photo-0df075ab-109d-4bf9-b5a5-136b7e8c4efc-150x150.jpg;66,87;1
129;1;"Świeca zapłonowa BOSCH 0 242 245 559";Świece;https://media2mi.pl/p/2/411/295/photo-9fa1e8ca-0d51-4e77-95d3-f21c8253a994-150x150.jpg;62,58;1
130;1;"Świeca zapłonowa NGK 5812";Świece;https://media1mi.pl/p/1/191/10/photo-edfb62b4-d415-4d0b-a358-3b3420491cc2-150x150.jpg;38,26;1
131;1;"Świeca zapłonowa BERU Z230";Świece;https://media2mi.pl/p/2/370/180/photo-a86bcb02-48c8-426e-b7b4-ac31799859fd-150x150.jpg;50,39;1
132;1;"Świeca zapłonowa BOSCH 0 242 245 552";Świece;https://media1mi.pl/p/1/118/172/photo-442515a6-6ff8-47b7-8b52-8983fa004919-150x150.jpg;19,00;1
133;1;"Świeca zapłonowa NGK 6421";Świece;https://media2mi.pl/p/2/350/144/photo-2dfcda9c-8a21-4c11-954c-7fcbc6caf4bf-150x150.jpg;14,85;1
134;1;"Świeca zapłonowa NGK 3526";Świece;https://media2mi.pl/p/2/395/128/photo-2f8ef7f5-9116-4d1e-b6bb-f758c95be39d-150x150.jpg;11,78;1
135;1;"Świeca zapłonowa NGK 4226";Świece;https://media2mi.pl/p/2/350/144/photo-2dfcda9c-8a21-4c11-954c-7fcbc6caf4bf-150x150.jpg;17,67;1
136;1;"Świeca zapłonowa DENSO SKJ20DR-M11";Świece;https://media2mi.pl/p/2/277/161/photo-f5ff87db-7ab4-460a-85ed-e532fbfbeebe-150x150.jpg;69,23;1
137;1;"Świeca zapłonowa BOSCH 0 242 235 953";Świece;https://media2mi.pl/p/2/331/421/photo-32564991-a9ad-4ef9-80d1-c6beeada0f0b-150x150.jpg
138;1;"Świeca zapłonowa BOSCH 0 241 225 549";Świece;https://media1mi.pl/p/1/188/486/photo-80a1ea34-3c17-4315-8377-df221d495722-150x150.jpg;16,78;1
139;1;"Świeca zapłonowa NGK 5368";Świece;https://media2mi.pl/p/2/315/30/photo-d3aacb50-591b-44db-b0c2-651ec52d4107-150x150.jpg;56,28;1
140;1;"Świeca zapłonowa DENSO P16";Świece;https://media1mi.pl/p/1/35/361/photo-cb172b7e-51d8-45fa-a147-dcd5d7219d06-150x150.jpg
141;1;"Świeca zapłonowa DENSO FXE22HR11";Świece;https://media1mi.pl/p/1/41/244/photo-80995500-9a5b-4942-82c0-a9bfc8c949f9-150x150.jpg;77,26;1
142;1;"Świeca zapłonowa NGK 6637";Świece;https://media2mi.pl/p/2/481/432/photo-41b071d4-567f-4aa2-9381-399d40718c76-150x150.jpg;61,68;1
