"Product ID";"Active (0/1)";Name;Category;"Image URL";Price;Quantity
83;1;"Świeca zapłonowa NGK 7626";Świece;https://media2mi.pl/p/2/273/143/photo-dcf04437-5361-4009-8376-59af65dd7f1e-150x150.jpg
84;1;"Świeca zapłonowa BOSCH 0 241 255 507";Świece;https://media1mi.pl/p/1/10/409/photo-0045f4b5-8135-4e06-a5da-f6e4a8e44840-150x150.jpg;39,75;4
85;1;"Zestaw świec zapłonowych BOSCH 0 242 235 917, 4 sztuki";Świece;https://media2mi.pl/p/2/409/488/photo-c5cce82b-9a34-4be3-9a70-20894dcf6bbb-150x150.jpg;141,63;3
86;1;"Świeca zapłonowa NGK 6544";Świece;https://media2mi.pl/p/2/468/193/photo-927b5118-7a6b-4d25-a0db-a192a5e2e57a-150x150.jpg;118,41;1
87;1;"Świeca zapłonowa BERU UXT4";Świece;https://media2mi.pl/p/2/325/413/photo-87544308-a894-4d81-9745-b95482482f52-150x150.jpg;14,87;2
88;1;"Świeca zapłonowa BOSCH 0 241 235 567";Świece;https://media1mi.pl/p/1/223/423/photo-854f29ab-0945-4214-b658-db8106c056e3-150x150.jpg;16,78;2
89;1;"Świeca zapłonowa NGK 3111";Świece;https://media1mi.pl/p/1/109/469/photo-c02b0eb9-9cac-4b80-be5f-24f8eb1baa64-150x150.jpg;12,93;5
90;1;"Świeca zapłonowa NGK 2173";Świece;https://media2mi.pl/p/2/467/328/photo-5ca058e1-f7df-4024-8546-20500d6d4f63-150x150.jpg;65,71;2
91;1;"Świeca zapłonowa DENSO SKJ16CR-A8";Świece;https://media2mi.pl/p/2/327/15/photo-ebe8d6e0-d55d-45fb-83b9-f46a8c8fa459-150x150.jpg;78,63;5
92;1;"Świeca zapłonowa NGK 4043";Świece;https://media2mi.pl/p/2/281/340/photo-14053e23-7639-443e-b03e-a2b7922a77ac-150x150.jpg;27,87;5
93;1;"Świeca zapłonowa BERU Z75";Świece;https://media1mi.pl/p/1/153/499/photo-da8428eb-87a0-4a5a-8b1e-8fbf53f998f8-150x150.jpg;22,94;3
94;1;"Świeca zapłonowa BOSCH 0 242 225 641";Świece;https://media1mi.pl/p/1/190/192/photo-1e855b73-6898-4cec-b9b4-cd6622b3c906-150x150.jpg;17,88;3
95;1;"Świeca zapłonowa NGK 7917";Świece;https://media1mi.pl/p/1/90/414/photo-a816b4d5-6ac3-47f3-9249-4269a403acd9-150x150.jpg;27,66;5
96;1;"Świeca zapłonowa DENSO QJ16HR-U9";Świece;https://media2mi.pl/p/2/431/470/photo-1827cb9f-61ec-40c1-9d9b-5302f2353f6e-150x150.jpg;14,79;3
97;1;"Świeca zapłonowa NGK 2215";Świece;https://media2mi.pl/p/2/403/498/photo-e81e3dc0-c440-40f5-8753-cbe177ee9698-150x150.jpg;62,63;2
98;1;"Świeca zapłonowa NGK 6597";Świece;https://media2mi.pl/p/2/351/46/photo-20f52c02-cded-4e06-910a-6fbd7af75638-150x150.jpg;61,68;3
99;1;"Świeca zapłonowa NGK 4228";Świece;https://media1mi.pl/p/1/241/98/photo-704bb830-64aa-4585-832c-2b0e55308c48-150x150.jpg;9,00;2
100;1;"Świeca zapłonowa NGK 3440";Świece;https://media2mi.pl/p/2/416/1/photo-88ed3dd9-e4cb-423c-8e63-b96bde13d328-150x150.jpg;62,63;2
